Nr.	Hoedanigheid	Rood	Categorie GD	Level_2	Cat_1_nieuw	Cat_2_nieuw	Categorie_RS_1	Categorie_RS_2	Comment_JO	Comment_RS	Categorie NG	Patterns	tags																
656	archdiaken		Godsdienst		Religie		Religie				kw_rest	\barchi?d[ie]a\w*	"""Archideacon"""																
658	archimandrit	archimandriet	Godsdienst		Religie		Religie				kw_rest	\barchi?mandr\w*	"""Archimandrit"""																
420	architect		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_rest	\barchitec\w*	"""Architect"";""Architect der Stadt Amstelredam"";""Architect van"""																
427	armateur		Beroep		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_ambt	\barmat\w*	"""Armateurs"";""Armateur"";""Engelschen Armateur"""																
660	arminiaan		Godsdienst		Religie		Religie				kw_id	\barminia+ne?n?\b	"""Arminianen"""																
668	arrestant		Juridische status		Justitie		(Juridische) status en Rechtspraak		P&J		kw_rest	\bar+est\w*	"""Arrestant"";""arrestant"""																
649	artilleriemeester		Krijgsmacht		Leger & Milities		Leger & Milities				kw_beroep	\bartil+\w* *meest\w*	"""Artilleryemeester der Stadt Leyden"""																
671	artillerist		Krijgsmacht		Leger & Milities		Leger & Milities				kw_beroep	\bartil+erist\w*	"""Artilleristen"";""Scheeps artilleristen"""																
77	assessor		Politiek & bestuur	??	Politiek & Bestuur		Politiek & Bestuur				kw_ambt	\bassess\w*	"""Assessor"";""assessor"";""Assessoren"""																
608	assistent		Beroep							hangt van de context af	kw_ambt	\bad?s?siste\w*	"""Assistentbode"";""adsistent Boode"";""Assistentboode"""																
519	assuradeurs		Beroep		Financiën		Financiën				kw_rest	\bassura\w*	"""Assuradeurs"";""Assuradeurs in Hollandt"";""Assuradeurs tot Amsterdam"""																
662	assurantiemeester		Beroep		Financiën		Financiën				kw_rest	\bassura\w*	"""Asseurantiemeester der Stadt Amsterdam"""																
686	attaché		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_beroep	\bat+ach[e√©]\w*	"""attache"";""attache vanden"""																
664	attacquant		Krijgsmacht		Leger & Milities		Leger & Milities				kw_id	\battac?quan\w*	"""attaquant"";""attacquant"";""Attacquant"""																
47	audiencier		Beroep, Rechtspraak		Justitie		(Juridische) status en Rechtspraak		?		kw_beroep	\baudi\w*	"""Audiencier"";""Andiencier"";""heere Audiencier"""																
106	auditeur		Politiek & bestuur	Rechtspraak	Justitie	Financiën	(Juridische) status en Rechtspraak	Financiën	?		kw_ambt, kw_beroep	\baudite\w*, \baudi\w*	"""Auditeur"";""Auditeur Militair"";""auditeur"""																
627	auteur		??, Beroep							hangt van de context af	kw_rest	\bauth?eur\w*	"""Autheur"""																
571	baanderheer		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_ambt	\bbaander *hee\w*	"""Baenderheer van Williby"";""Baenderheer van williby"";""Baenderheere van Williby"""																
134	bai		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur			Bey' is volgens mij de huidige term	kw_rest	\bbaij?[^lo]{0,3}\b	"""Baijen"";""Baij"";""baijen"""																
638	baiolo		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_rest	\bba+[yij]+olo\w*	"""Baiolo"";""Baiolo van Venetien"""																
585	baion		geen hoedanigheid							GD: geen hoedanigheid	kw_rest	\bbaij?on\w*	"""Baijonne"";""Baionne"";""Baionne in Vranckryck"""																
512	bakker		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_kerk	\bbac?k+ers?\b	"""Backer"";""Bakkers"";""Bakker"""																
135	baljuw		Politiek & bestuur	Regionaal, Lokaal	Politiek & Bestuur	Justitie	(Juridische) status en Rechtspraak		P&B / P&J		kw_kerk	bai?ll?[ji]u\w*	"""Bailliu"";""Bailliuw"";""Baillu"""																
645	bandanesen		Geografie		Geografie		Geografie				kw_id	\bbandane\w*	"""Bandanesen"""																
25	bandelier		geen hoedanigheid							GD: geen hoedanigheid	kw_rest	\bbandel\w*	"""bandelier"";""Bandeliers"";""bandeliers"""																
487	bankier		Beroep		Financiën		Financiën				kw_kerk	\bban[qkc]+[iu]\w*	"""Banquier"";""Kooplieden en Banquiers alhier in den Hage"";""Banquiers"""																
486	barbier		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_kerk	\bbarbier\w*	"""Barbier"""																
594	baron		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten			waarom tweemaal?	kw_edelen, kw_rest	baroe?n[^nes]*\b, \bbar[oe]+ns?\b	"""Baron"";""Baron van Reischach"";""Heere Baron van Reischach"""																
634	baron		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_edelen, kw_rest	baroe?n[^nes]*\b, \bbar[oe]+ns?\b	"""Baronnie van Breda"";""Heere Baron van Gortz"";""Baron van Charnace"""																
567	barones		Adel & vorstenhuizen		Adel & Vorsten		Adel & Vorsten				kw_edelen	baronn?esw*	"""Baronnesse van Wissekercke"";""Baronnesse"";""Baronesse van Wangenheim"""																
65	bascha		Adel & vorstenhuizen, Politiek & bestuur	Internationaal	Adel & Vorsten		Adel & Vorsten			als we hier ook Politiek & Bestuur doen, dan zou dat ook bij bijv. prins en koning kunnen.	kw_ambt, kw_edelen, kw_rest	\bbas?cha\w*, \bbas[sch]+a\b, \b[pb]as?s?c?h?a\b	"""Bascha"";""Bacha"";""Bassa"""																
640	baselaar		geen hoedanigheid							is een soort mes	kw_id	\bbaselaar\b	"""Baselaer"""																
641	bassas	pasja	Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur?			is dit wel een hoedanigheid?	kw_rest	\bbas+as\b	"""Bassas"""																
642	bataven		Geografie		Geografie		Geografie?				kw_id	\bbata+[fv]e?n?\b	"""Bataven"";""eenige Bataven"";""eenige Officieren der Bataven"""																
637	batellier	schipper	Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst			"GD: Frans woord voor ""schipper"""	kw_ambt	\bbatel+ier\w*	"""Batelier"";""Bateliers"";""Batelliers"""																
635	batenburger		geen hoedanigheid				Geografie?			GD: geen hoedanigheid	kw_id	\bbatenb[ou]r\w*ers?	"""Batenborger"""																
138	beambte		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_pol	\bbeam[bp]t\w*	"""Beampten"";""beampten"";""Beampten en Bedienden"""																
479	bedelaar		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bbe+dela\w*	"""Bedelaars"";""bedelaers"";""Bedelaers"""																
428	bediende		Beroep		Dienstverlening		Dienstverlening				kw_beroep	\bbedien[^a]\w*	"""bedienden"";""Bedienden"";""Bediendens"""																
518	bedijker		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_id	\bbed[eijy]+c?ker\w*	"""Bedijckers"";""bedijckers, arbeijders, Leveranciers"";""bedijckers"""																
636	bedrieger		Juridische status		Justitie		(Juridische) status en Rechtspraak		P&J		kw_beroep	\bbedrieg\w*	"""Bedrieger"""																
629	beeldhouwer		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_rest	\bbe+l[td]+hou\w*	"""Mr. Beeldthouwer"";""Beeldhouwer"";""Beelthouwer"""																
647	beenhouwer		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_rest	\bbeenhou\w*	"""Beenhouwers binnen de voorschreve Stadt"""																
444	behanger		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_rest	\bbehanger\w*	"""Behangers"";""Meester Behanger"";""Behangers alhier in den Hage"""																
140	bei		Politiek & bestuur	Internationaal	Politiek & Bestuur		Politiek & Bestuur			is dit niet hetzelfde als 'bai' eerder?	kw_beroep	\bbe[iyj]+\b	"""Bey"";""Bey van Tunis"";""Bey van Tripoli"""																
677	beleider		Krijgsmacht, Politiek & bestuur		Religie		Religie			wat is dit? Beleider van een religie?	kw_id	\bbel[eijy]+der\w*	"""beleijders"";""Beleyders"";""Belyders"""																
710	bestelmeester		Beroep		Politiek & Bestuur		Politiek & Bestuur			intendant?	kw_ambt	\bbestelme*s?t?e?r?e?n?s?\b	"""bestelmeester"";""Bestelmeester"";""bestelmre"""																
679	bestuurder		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt	\bbestu+rder\w*	"""Bestuurders"""																
264	betaalheren		Juridische status		Financiën		Financiën				kw_beroep	betaals?[hm]\w*\b	"""Betaelsheeren"";""Betaalsheeren"";""Betaelmeester"""																
670	beurtman		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_rest	\bbeurtman\b	"""Beurtman"";""Beurtman van Emmerick op Nymegen"";""ordinaris Beurtman op Amsterdam"""																
667	bevelhebber		Krijgsmacht		Leger & Milities		Leger & Milities				kw_rest	\bbe[uv]elheb\w*	"""Schipper of Bevelhebber"";""Officieren en Bevelhebberen"";""Bevelhebberen"""																
666	bevrachter		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_rest	\bbevracht\w*	"""bevrachters"";""Bevragters van het selve Schip"";""reeders ende bevrachters"""																
618	bewaarder	kamerbewaarder	Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_beroep	\bbewa\w*	"""bewaert"";""Camer bewaerder"";""camer bewaerder"""																
146	bewindhebber		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_beroep, kw_rest	\bbewin\w* *heb\w*, bewin\w*heb\w*\b, \bbewi\w*hel?b\w*	"""Bewinthebberen"";""Bewindhebberen"";""Bewinthebbers"""																
672	bezitter		??, Juridische status		Status & relaties		(Juridische) status en Rechtspraak		S&R		kw_id	\bbe[sz]+it+er\w*	"""possesseurs"";""Besitter"";""Bezitter"""																
18	bidet		geen hoedanigheid							GD: geen hoedanigheid	kw_rest	\bbidet.?\b	"""Bidets"";""bidets"";""bidetz"""																
652	biersteker		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_kerk	\bbierste\w*	"""bierstekers"";""Biersteecker"""																
651	biljetschrijver		Beroep		Politiek & Bestuur		Politiek & Bestuur				kw_rest	\bbil\w*etschr\w*	"""Billetschryver"""																
20	biscayen				Geografie		Geografie			wijzigen in Biscaiers?	kw_beroep	\bbisca\w*	"""Biscayers"";""biscayers"";""Biscaijers"""																
336	bisschop		Godsdienst		Religie		Religie				kw_kerk	bissch\w*, \bbis?sch\w*, \bbi\wschop\b, \bbis.{0,6}opp?e?\b	"""Bisschop van Munster"";""heere Bisschop van Munster"";""Heere Bisschop van Munster"""																
659	blikslager		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bblikslag\w*	"""Blickslager"";""Mr. Blickslager"";""meester Blickslager"""																
395	bloedverwant		Familie status		Status & relaties		Familie				kw_rest	\bbloe[td]+ver\w*	"""naaste Bloedverwanten van"";""Bloetverwanten"";""als Bloedverwant van"""																
657	bloemist		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bbloemis\w*	"""Bloemist alhier in den Hage"""																
137	bode		Politiek & bestuur		Dienstverlening		Dienstverlening				kw_beroep	\bboo?d[ie]\w*	"""Boode"";""Bode"";""bode"""																
455	boekdrukker		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bbo.{0,2}kdruc?k\w*	"""bouckdrucker"";""Boeckdrucker"";""Boeckdrucker tot Amsterdam"""																
459	boekhouder		Beroep		Financiën		Financiën				kw_beroep	boekho\w*, \bbo[ue].{0,6}ders?\b	"""Boeckhouder"";""Boeckhouders"";""Boekhouder"""																
442	boekverkoper		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bb[ueao]+c?k *ver.{0,6}ers?\b	"""Boeckvercooper alhier inden Hage"";""boeckvercooper"";""Boeckvercooper"""																
461	boer		Beroep		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_rest	\bboer\w*	"""boeren"";""Boeren"";""Boer"""																
193	bombardier		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_beroep	\bbombar\w*	"""Bombardier"";""Bombardiers"";""Bombardier onder de Compagnie van den"""																
60	bondgenoot		Juridische status, Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_pol	\bbon[dt] *ge *n *o\w*, \bbo.{0,6}geno\w*	"""Bondgenoten"";""Bontgenoten"";""Bondtgenoten"""																
663	bontwerker		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bbondwerc?ker\w*	"""Bondwerker alhier in den Hage"""																
643	boormaker		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bboorma\w*	"""Boormaker"";""Boormaecker"""																
653	boosdoener		Juridische status		Justitie		(Juridische) status en Rechtspraak		P&J		kw_id	\bboosdoen\w*	"""Boosdoenders"";""Booswichten"";""Gaauwdieven, Kneevelaars en Boosdoenders"""																
409	bootsgezellen		Beroep, Krijgsmacht		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_beroep	bootsge\w*, \bboots? *ge\w*	"""Bootsgesellen"";""bootsgesellen"";""Officieren ende Bootsgesellen"""																
661	bootslui	loods	Beroep		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_beroep	\b\woots?lui\w*	"""Lootsluijden"";""lootsluijden"";""lootsluyden"""																
410	bootsman		Beroep, Krijgsmacht		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_beroep	\bboots? *man\w*	"""Bootsman"";""Boots"";""Bootsmans"""																
408	bootsvolk		Beroep, Krijgsmacht		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_beroep	\bboot.{0,2}[bv]+olc?k, \bboo[dt]+s[bv]ol\w*	"""Bootsvolck"";""bootsvolck"";""Scheepsvolck"""																
669	borduurwerker		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bbo+rdu+rwerk\w*	"""Borduurwerker"";""Borduurwercker alhier in den Hage"";""Borduurwerker alhier in den Hage"""																
39	bottelier		geen hoedanigheid		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_rest	\bbottel\w*	"""Bottelier"";""bottelier"""																
678	bourgeois		Juridische status		Status & relaties		(Juridische) status en Rechtspraak		S&R		kw_ambt	\bbourgeois	"""Bourgeois"";""Bourgeois de Berne"";""bourgeois"""																
632	bouwman		Beroep		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_beroep	\bbouw[lm][uia]\w*	"""Bouwlieden"";""Bouwman"""																
495	bouwmeester		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	bouwmeester\w*	"""Bouwmeester"";""Cleef- en Marksche Land-Bouwmeester"";""Stads Bouwmeester"""																
357	brabander		Geografie		Geografie		Geografie				kw_id	\bbrabander\w*	"""Brabander"";""Brabanders"";""gebooren Brabander"""																
628	brabandtsche lieden		Politiek & bestuur, Geografie		Geografie		Geografie				kw_id, kw_rest	\bbraban\w* *l[ieu]+de\w*, \blu?ie?den\b	"""Brabandsche Leeden"";""Brabantsche Leeden"""																
644	bricqueteur		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	\bbric?quet\w*	"""Bricqueteurs"""																
228	brigadier		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt, kw_rest	brigadier\w*, \bbr[ei]g\wd\w*, \bbr.{0,2}gadie\w*	"""Brigadier"";""Major de Brigade"";""Brigadiers"""																
374	broeder		Familie status		Status & relaties		Familie				kw_kerk	\bbroe.{0,1}der\w*	"""sijn Broeder"";""broeder"";""Broeder"""																
508	broodbakker		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst			samen met bakker?	kw_beroep	\bbroodb\w*\b	"""Broodbakkers"";""Broodbakkers en Broodverkoopers"";""Broodbakkers en Broodverkoopers binnen de Heerlykheid Venloon"""																
507	brouwer		Beroep		Handel, Nijverheid & Kunst		Handel, Nijverheid & Kunst				kw_beroep	brouw\w*\b	"""Brouwers"";""Brouwer"";""brouwer"""																
633	bruid(egom)		Familie status		Status & relaties		Familie				kw_id	\bbruid\w*	"""Bruidegom of Bruid"";""Bruidegom en Bruid"";""zyde van Bruid en Bruidegom"""																
44	bruiker		Beroep		Scheepvaart, Landbouw & Visserij		Scheepvaart, Landbouw & Visserij				kw_beroep	\bbruiker\w*	"""Bruijcker"";""pachter off bruijcker"";""Bruikers"""																
631	buitenlui		Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur			tagskolom wijst op minister	kw_new	\bbuitenl\w*	"""Minister der buitenlandsche"";""Minister der buitenlandsche zaaken"";""Heer Minister der buitenlandsche"""																
156	burgemeester		Politiek & bestuur	lokaal, Lokaal	Politiek & Bestuur		Politiek & Bestuur				kw_ambt, kw_rest	\bb[aou]rger?m\w*, \bb[urg]{2,4}.{0,3}me?e?s?t?e?r\w*, burger?m\w*	"""Burgermeester"";""Burgemeester"";""Burgermeester en Scheepenen"""																
271	burger		Juridische status		Status & relaties		(Juridische) status en Rechtspraak		S&R		kw_ambt, kw_new	\bb[oiu]r(?:ch|g) *g?ers?e?n?\b, \bburge\w\b, \bbur\wer\b, \bb\wrgere?s?s?e?n?\b	"""Burger"";""Burgers"";""borgeren"""																
681	burgerhorst		geen hoedanigheid							GD: geen hoedanigheid	kw_pol	\bb[uo]rgerh\wrs\w*	"""Borgerhorst"";""Borgerhorst Ter Coelen"""																
690	burggraaf		Politiek & bestuur		Adel & Vorsten		Adel & Vorsten				kw_new	\bburggra+[fv]+e?\b	"""Burggraeff"";""wylen Frans Burggraaf,"";""Burggraaf van Kirchberg"""																
771	butler		Beroep		Dienstverlening		Dienstverlening				kw_new	\bbutler\w*	"""Butlers"";""oock aan gemelde Butlers nogh"""																
235	cadet		Krijgsmacht	Landmacht	Leger & Milities		Leger & Milities				kw_ambt	\bcade\w*	"""Cadet"";""Cadets"";""Cadet in het Regiment van den"""																
770	caijmacan	kaymakam	Politiek & bestuur		Politiek & Bestuur		Politiek & Bestuur				kw_beroep	\b[kc]a+[ijy]+macan	"""Caijmacan"";""Caimacan"""																
299	canonicq	kanunnik	Godsdienst		Religie		Religie				kw_kerk, kw_rest	\b[kc]anoni\w*, \b[kc][oa]n+[ou]n+i[kcq]+\w*	"""Deecken en Canunnicquen"";""Kanunnik"";""Canunick"""																
310	canoniek	kanunnik	Godsdienst		Religie		Religie				kw_kerk	\b[kc]anoni\w*	"""Canonick"";""Canoniers"";""Canonicq"""																
