0000387	Regimenten - Zweeds
0000388	Regimenten - Zwitsers
0000389	Regimenten in dienst van den Staat
0000390	Regimentvan Amelisweert
0000391	Regimentvan Marine
0000392	Regimentvan Trouillet
0000393	Regimentvan den Baron Sparre
0000394	Regimentvan den Baron Steyn
0000395	Regimentvan den Brigadier Schaak
0000396	Regimentvan den Collonel Beyma
0000397	Regimentvan den Collonel Boncour
0000398	Regimentvan den Collonel Buddenbroek
0000399	Regimentvan den Collonel Capol
0000400	Regimentvan den Collonel Dedem
0000401	Regimentvan den Collonel Dompre
0000402	Regimentvan den Collonel Essen
0000403	Regimentvan den Collonel Frieshem
0000404	Regimentvan den Collonel Hamilton
0000405	Regimentvan den Collonel Heekeren
0000406	Regimentvan den Collonel Tegnagel
0000407	Regimentvan den Grave
0000408	Regimentvan den Grave van Dona
0000409	Regimentvan den Grave van Warfuse
0000410	Regimentvan den Hertog van Holsteyn
0000411	Regimentvan den Hertog van Saxen
0000412	Regimentvan den Lieutenant Generaal Coehoorn
0000413	Regimentvan den Lieutenant Generaal Slangenburg
0000414	Regimentvan den Major Generaal
0000415	Regimentvan den Major Generaal Ittersum
0000416	Regimentvan den Major Generaal Weede
0000417	Regimentvan den Major Generaal Wynbergen
0000418	Regimentvan den Major Generaal de Hubert
0000419	Regimentvan den Oversten Gent
0000420	Regimentvan den Prince van Holsteyn Norburg
0000421	Regimentvan den heer van Obdam
0000422	Regimentvan den heer van Ryswyk
0000423	Regimentvan den heere van Obdam
0000424	Regimentvan den heere van Ryswyk
0000425	Rekenkamer te Brussel
0000426	Rekenkamer van Brabant
0000427	Rekenkamer van Friesland
0000428	Rekenkamer van Gelderland
0000429	Rekenkamer van Holland
0000430	Rekenkamer van Spanje
0000431	Rekenkamer van Zeeland
0000432	Remonstranten
0000433	Representanten van het Bataafse Volk
0000434	Representanten van het Franse Volk
0000435	Representanten van het volk van Brabant
0000436	Representanten van het volk van Drenthe
0000437	Representanten van het volk van Friesland
0000438	Representanten van het volk van Gelderland
0000439	Representanten van het volk van Holland
0000440	Representanten van het volk van Overijssel
0000441	Representanten van het volk van Stad en Lande
0000442	Representanten van het volk van Utrecht
0000443	Representanten van het volk van Zeeland
0000444	Rijksdag
0000445	Rijkskamergericht
0000446	Roomse gemeente te Philippine
0000447	Roomse kerken in Maastricht
0000448	Roomse kerken in Venlo
0000449	Roomse kerken in ’s Hertogenbosch
0000450	Roomsgezinden
0000451	Societeit van Suriname
0000452	Staten van het land van Valkenburg
0000453	Strafhof te Suriname
0000454	Synode van Berg
0000455	Synode van Dordrecht
0000456	Synode van Gelderland
0000457	Synode van Holland en West-Friesland
0000458	Synode van Utrecht
0000459	Synode van Zuid-Holland
0000460	Synoden in de verenigde Nederlanden
0000461	Trouppes van deesen Staat
0000462	Trouppes van den Staat
0000463	Trouppes van den Staat aan den Nederrhyn
0000464	Trouppes van den Staat in de Nederlanden
0000465	Trouppes van den Staat in de Oostenryksche Nederlanden
0000466	Universiteit Douay
0000467	Universiteit Groningen
0000468	Universiteit Leiden
0000469	Universiteit Leuven
