beroep,aantal
Steen- en Breuksnijder,1
Steenpolijster,1
Stijfster,1
Stoffeerder van spiegels,1
Stokviskoper,1
Stratenmaker,1
Suikerbakkersgezel,1
Taalmeester,1
Taander,1
Tafelboekmaker,1
Tafelbordenmaker,1
Tafelwerkwever,1
Tamboerijn- en schoenmaker,1
Tandentrekker,1
Tapijtmaker,1
Thesaurier extraordinaris,1
Tinnengieter,1
Tonnenbinder,1
Trijpverver,1
Trompetter op de Stadstoren,1
Turfpontschipper,1
Turfpontvaarder,1
Turfschipper,1
Turfvoerder en Tavernier,1
Twijnder,1
Twijnster,1
Twijnverver,1
Uurwerkmaker,1
Vaandrig onder Hopman Neck,1
Vaandrig onder hopman Pieter van Neck,1
Varensman/Harpoenier,1
Varkensdrijver,1
Varkensslager,1
Vechtmeester,1
Veenschipper,1
Veerman op Kommeniersdijck,1
Velourswerker,1
Verfmaker,1
Verfverkoper,1
Verversknecht,1
Vettewarierster,1
Visdrager,1
Visser op een waterschip,1
Visverkoopster,1
Visverkoper,1
Visvrouw,1
Vlardden bij Steenwijck,1
Vlasster,1
Vleeshouwersgezel,1
Vleeshouwersknecht,1
Vlokkenkoper,1
Vlokkoper,1
Vlotschuitenvoeder,1
Voerkoopster,1
Vogelkooimaker,1
Volger,1
Voorspraak,1
Vormenmaker,1
Vormmaker,1
Vormsnijder,1
Vrijster,1
Vulder,1
Waalredder,1
Waalridder,1
Waals Schoolmeester,1
Waalse meester,1
Waard in 't Gulden Cruys,1
Wachter,1
Wadvaarder,1
Wagenmaker,1
Waker,1
Wandsnijder,1
Wapensnijder,1
Warmoesman,1
Wasbleker,1
Waterscheepsknecht,1
Waterscheepsman,1
Waterscheepsvoerder,1
Wereldlijk priester,1
Weversgereedschap verkoper,1
Wieringen,1
Wijnverkoopster,1
Wijnverkoper,1
Winkelhoudster,1
Winkelier in Haarlemse Manufakturen,1
Winkelier in Rijsselse waren,1
Wol- en Linnenwever,1
Wolhandelaar,1
Wolkaarder,1
Wolkoopman,1
Wolkoper,1
Wollenlakenwerker,1
Wortelkruier,1
Zadelmaker,1
Zanddrager,1
Zandkoper,1
Zandman,1
Zandvaarder,1
Zandvoerder,1
Zangmeester,1
Zeembereider,1
Zeemleerkoper,1
Zeemtouwer,1
Zeevaarder,1
Zegelsnijder,1
Zegenaar of Visser,1
Zeildoekwever,1
Zeilwever,1
Ziekentrooster,1
Zijdebereider,1
Zijdegommer,1
Zijdekaarder,1
Zijden- en Wollenlakenskoper,1
Zijdenlaken- winkelier,1
Zijdenlakenkoopman,1
Zijdenlakenwerker,1
Zijdenlakenwever,1
Zijdenlakenwinkelier,1
Zijdenlintkramer,1
Zijderedersknecht,1
Zijdeverfster,1
Zijdeverkoper,1
Zijdeverwerker,1
Zoetelaar,1
Zoutwaterhaler,1
Zoutwerker,1
Zuivelverkoper,1
[Bakker],1
[Bleker],1
[Bottelaar],1
[Grutter],1
[Huisman],1
[Imker],1
[Kaarsenmaker],1
[Kammenscherper],1
[Kok],1
[Ladenmaker],1
[Maler],1
[Matris],1
[Metselaar],1
[Oproeder],1
